subject,subject_alias,experiment,original_experiment,session,original_session,session_log,session_json,session_jsonl
R1074M,R1074M,PS2,PS,2,11,1,0,0
R1074M,R1074M,PS3,PS,0,3,1,0,0
R1074M,R1074M,PS3,PS,1,8,1,0,0
R1074M,R1074M,PS3,PS,2,12,1,0,0
R1074M,R1074M,YC1,,0,0,0,0,0
R1074M,R1074M,YC2,,0,0,0,0,0
R1074M,R1074M,catFR1,,0,0,1,0,0
R1074M,R1074M,catFR2,,0,0,1,0,0
R1075J,R1075J,FR1,,0,,1,0,0
R1075J,R1075J,FR1,,1,,1,0,0
R1075J,R1075J,YC1,,0,0,0,0,0
R1075J,R1075J,YC1,,1,1,0,0,0
R1075J,R1075J,catFR1,,0,,1,0,0
R1076D,R1076D,FR1,,0,,1,0,0
R1076D,R1076D,FR1,,1,,1,0,0
R1076D,R1076D,TH1,,0,0,0,0,0
R1076D,R1076D,TH1,,1,1,0,0,0
R1077T,R1077T,FR1,,0,0,1,0,0
R1077T,R1077T,FR1,,1,1,1,0,0
R1077T,R1077T,FR1,,2,2,1,0,0
R1077T,R1077T,FR1,,3,3,1,0,0
R1077T,R1077T,FR2,,0,0,1,0,0
R1077T,R1077T,PS1,PS,0,1,1,0,0
R1077T,R1077T,PS1,PS,1,2,1,0,0
R1077T,R1077T,PS2,PS,0,3,1,0,0
R1077T,R1077T,PS3,PS,0,4,1,0,0
R1077T,R1077T,YC1,,0,0,0,0,0
R1077T,R1077T,YC1,,1,1,0,0,0
R1078N,R1078N,PAL1,,0,0,1,0,0
R1079E,R1079E,YC1,,0,0,0,0,0
R1080E,R1080E,FR1,,0,0,1,0,0
R1080E,R1080E,FR1,,1,1,1,0,0
R1081J,R1081J,FR1,,0,0,1,0,0
R1081J,R1081J,FR1,,1,1,1,0,0
R1081J,R1081J,PS1,PS,0,1,1,0,0
R1081J,R1081J,PS3,PS,0,2,1,0,0
R1082N,R1082N,PAL1,,0,0,1,0,0
R1082N,R1082N,PAL1,,1,1,1,0,0
R1082N,R1082N,PAL2,,0,0,1,0,0
R1083J,R1083J,FR1,,0,0,1,0,0
R1083J,R1083J,FR1,,1,1,1,0,0
R1083J,R1083J,FR1,,2,2,1,0,0
R1083J,R1083J,FR1,,3,3,1,0,0
R1083J,R1083J,FR1,,4,4,1,0,0
R1083J,R1083J,YC1,,0,0,0,0,0
R1083J,R1083J,catFR1,,0,0,1,0,0
R1084T,R1084T,FR1,,0,,1,0,0
R1084T,R1084T,PS1,PS,0,4,1,0,0
R1084T,R1084T,PS2,PS,0,1,1,0,0
R1085C,R1085C,FR2,,0,0,1,0,0
R1086M,R1086M,FR1,,0,0,1,0,0
